	wavelength	bin_width	rp^2_value	rp^2_errorneg	rp^2_errorpos
0	4.0656113000000005	0.009768600000000127	0.02115326972156942	0.00021298354263535744	0.00021298354263535744
0	4.08509865	0.009718700000000524	0.0209387070260969	0.0002496934687676534	0.0002496934687676534
0	4.104488849999999	0.009671299999999938	0.020884798385200347	0.0002191315812758392	0.0002191315812758392
0	4.12378465	0.009625299999999726	0.021235953185652644	0.0002231202008549578	0.0002231202008549578
0	4.1429902	0.009580399999999933	0.021041883858677234	0.00017806847307874572	0.00017806847307874572
0	4.1621046	0.009533799999999815	0.021405151939554914	0.00021995638541754867	0.00021995638541754867
0	4.181127	0.009487999999999275	0.021287903116686054	0.00023591786510834367	0.00023591786510834367
0	4.200058950000001	0.009443300000000043	0.02183033830408954	0.0002129525496851823	0.0002129525496851823
0	4.2189	0.009398000000000017	0.022049568711076162	0.00022786385572755633	0.00022786385572755633
0	4.2376523	0.00935459999999999	0.022061096459943953	0.00020457173150331212	0.00020457173150331212
0	4.2563189999999995	0.009312000000000431	0.022162392932421053	0.00022631410739924144	0.00022631410739924144
0	4.2748985	0.009267799999999937	0.022393997428218886	0.00021951190537478502	0.00021951190537478502
0	4.2933923499999995	0.00922529999999977	0.022278803003314925	0.00024679201019939094	0.00024679201019939094
0	4.3347006	0.0	0.0226603951238587	0.00038604980516540003	0.00038604980516540003
0	4.34837415	0.009102299999999452	0.022639898369147697	0.00024029252594381326	0.00024029252594381326
0	4.36654115	0.009065099999999937	0.022495248427150196	0.0002555008935864377	0.0002555008935864377
0	4.384633	0.009026000000000423	0.022064169485426114	0.0003263878297199697	0.0003263878297199697
0	4.4026447	0.008986600000000067	0.022432154021751534	0.0002903671979723509	0.0002903671979723509
0	4.4205789499999995	0.008947299999999991	0.022636580038658618	0.0002951899295410517	0.0002951899295410517
0	4.438435500000001	0.008909000000000056	0.022455258205790113	0.00023222796112347226	0.00023222796112347226
0	4.4562158499999995	0.008871099999999466	0.02151501718244755	0.00032694493255175524	0.00032694493255175524
0	4.47391985	0.00883289999999981	0.022183392199806928	0.00031941916295589453	0.00031941916295589453
0	4.4915495	0.008797000000000388	0.021927517269508062	0.00027386443164833797	0.00027386443164833797
0	4.5091057	0.008759400000000639	0.021593129367192803	0.0002888775226894023	0.0002888775226894023
0	4.52658795	0.008723299999999767	0.0214985473851815	0.00028894478388847607	0.00028894478388847607
0	4.543998	0.008686599999999878	0.0214731638211697	0.00026502294562414486	0.00026502294562414486
0	4.56133655	0.008651699999999707	0.021672406179518808	0.00026289318873803593	0.00026289318873803593
0	4.5786042	0.008616399999999302	0.021543186686755412	0.0002933198118438644	0.0002933198118438644
0	4.5915112	0.0	0.022195776068414295	0.00036807638614560004	0.00036807638614560004
0	4.612926	0.008544000000000551	0.021546219737903025	0.00029375264914680363	0.00029375264914680363
0	4.6299813499999996	0.008511299999999444	0.021292300636798833	0.0002792573245924154	0.0002792573245924154
0	4.64696905	0.008476699999999227	0.02196079537109836	0.00026766400231383486	0.00026766400231383486
0	4.66388965	0.00844329999999971	0.021389135830129833	0.000304819701892955	0.000304819701892955
0	4.68074395	0.008410899999999444	0.021759814256127476	0.00027611321531324117	0.00027611321531324117
0	4.6975328	0.008378399999999786	0.021084837278303774	0.00026887259049233496	0.00026887259049233496
0	4.714257	0.00834599999999952	0.021266480021494533	0.0003533596619999551	0.0003533596619999551
0	4.7350736	0.0	0.0216202988363443	0.00037241148778334996	0.00037241148778334996
0	4.74751275	0.00828249999999997	0.021338908992542944	0.0003100230787284511	0.0003100230787284511
0	4.76404665	0.008251299999999517	0.02189984676424529	0.0002628054094790348	0.0002628054094790348
0	4.784628	0.0	0.02109971803766	0.0004085303241874	0.0004085303241874
0	4.7969272	0.008189599999999686	0.021892618307116175	0.00030588399053306	0.00030588399053306
0	4.8132755	0.008159000000000027	0.021382298176243517	0.0003432985822925607	0.0003432985822925607
0	4.82956375	0.008128499999999761	0.021335346174404708	0.0002871948741437433	0.0002871948741437433
0	4.849842	0.0	0.0225243040614837	0.0004181131171295	0.0004181131171295
0	4.8619614	0.008070000000000022	0.02086797811808528	0.00031931260908265924	0.00031931260908265924
0	4.87807225	0.008040499999999895	0.02124949148224056	0.00034202780875803863	0.00034202780875803863
0	4.894125000000001	0.008011999999999908	0.0209731684652891	0.0003944315189657117	0.0003944315189657117
0	4.9101202	0.007983600000000202	0.021099551213732717	0.00036465323616418884	0.00036465323616418884
0	4.9260583	0.0079545999999997	0.02101439596347105	0.00038598838265144415	0.00038598838265144415
0	4.941939850000001	0.007926900000000181	0.021301281850217985	0.00038180665718793493	0.00038180665718793493
0	4.9577656999999995	0.007898599999999867	0.02132521619856723	0.00037976867415908354	0.00037976867415908354
0	4.973535999999999	0.007871999999999879	0.021367705529860146	0.0003603033988140135	0.0003603033988140135
0	4.9892516	0.007844000000000406	0.020863846623007144	0.00036194973199920574	0.00036194973199920574
0	5.00491275	0.00781749999999981	0.021241830325116198	0.0003154016495006913	0.0003154016495006913
0	5.02052	0.007789999999999964	0.021299187872316945	0.00033849108833230854	0.00033849108833230854
0	5.036074	0.007763999999999882	0.020862532442580132	0.00038187879074106626	0.00038187879074106626
0	5.0515753	0.007737399999999894	0.020830591401524448	0.0004106086325508954	0.0004106086325508954
0	5.06702375	0.0077104999999999535	0.02129157694031657	0.0003311452150714294	0.0003311452150714294
0	5.08241935	0.007684699999999545	0.021523044937746164	0.0003892054751915876	0.0003892054751915876
0	5.101593	0.0	0.0201623535980977	0.00049617798220145	0.00049617798220145
0	5.1092396	0.0	0.0209308387234983	0.0004618749702662	0.0004618749702662
0	5.1282988	0.007608399999999627	0.021458685213727416	0.00038765341378351636	0.00038765341378351636
0	5.14349155	0.0075840999999998715	0.02152127214153323	0.0004027107051746662	0.0004027107051746662
0	5.154855	0.0	0.0210529128609177	0.00076963455684715	0.00076963455684715
0	5.17372775	0.007534500000000222	0.020633288667104205	0.0005948559685889725	0.0005948559685889725
0	5.188772800000001	0.007510400000000139	0.02116994459017851	0.0004889253723069267	0.0004889253723069267
0	5.203769	0.007486000000000104	0.020336725833193944	0.0005313636005910959	0.0005313636005910959
0	5.2187173	0.007462000000000302	0.021053538653616487	0.000410625528747217	0.000410625528747217
0	5.2336177500000005	0.007438500000000126	0.021110574683403573	0.00039038018395739344	0.00039038018395739344
0	5.24847135	0.007414699999999996	0.021466010412370787	0.0004617774041984794	0.0004617774041984794
0	5.263278	0.007392000000000287	0.02130023992335491	0.0003737769120393279	0.0003737769120393279
0	5.2780380000000005	0.007368000000000485	0.021316734059554646	0.0004229552646927014	0.0004229552646927014
0	5.2926655	0.007171599999999501	0.02093362895575783	0.00040284455001210413	0.00040284455001210413
